Time,Start side,Left duration,Right Duration,Total duration,Left Amount,Right Amount,Total amount,Note
"6/9/22 4:16 PM","","10 min","10 min","20 min",,,,""
"6/10/22 5:32 AM","",,,,"10 ml","10 ml","20 ml",""
"6/10/22 8:50 AM","","10 min","10 min","20 min",,,"5 ml",""
"6/10/22 11:53 AM","",,,,,"7 ml","7 ml",""
"6/10/22 4:49 PM","",,,,,,"20 ml",""
"6/10/22 7:45 PM","",,,,,,"10 ml",""
"6/11/22 4:30 AM","",,,,,,"40 ml",""
"6/11/22 11:20 AM","",,,,,,"40 ml",""
"6/11/22 3:00 PM","",,,,,,"55 ml",""
"6/11/22 6:09 PM","",,,,,,"50 ml",""
"6/11/22 8:19 PM","",,,,,,"50 ml",""
"6/12/22 4:46 AM","",,,,,,"80 ml",""
"6/12/22 12:32 PM","",,,,,,"70 ml",""
"6/12/22 3:59 PM","",,,,,,"55 ml",""
"6/12/22 7:45 PM","",,,,,,"60 ml",""
"6/13/22 5:56 AM","",,,,,,"90 ml",""
"6/13/22 9:30 AM","",,,,,,"70 ml",""
"6/13/22 12:30 PM","",,,,,,"60 ml",""
"6/13/22 1:03 PM","",,,,,,"100 ml",""
"6/13/22 4:34 PM","",,,,,,"90 ml",""
"6/14/22 5:29 AM","",,,,,,"150 ml",""
"6/14/22 9:30 AM","",,,,,,"70 ml",""
"6/14/22 12:30 PM","",,,,,,"100 ml",""
"6/14/22 3:30 PM","",,,,,,"70 ml",""
"6/14/22 8:37 PM","",,,,,,"90 ml",""
"6/15/22 5:45 AM","",,,,,,"150 ml",""
"6/15/22 8:45 AM","",,,,,,"80 ml",""
"6/15/22 12:45 PM","",,,,,,"100 ml",""
"6/15/22 5:15 PM","",,,,,,"90 ml",""
"6/15/22 8:12 PM","",,,,,,"80 ml",""
"6/16/22 5:00 AM","",,,,,,"140 ml",""
"6/16/22 8:43 AM","",,,,,,"100 ml",""
"6/16/22 12:29 PM","",,,,,,"100 ml",""
"6/16/22 4:00 PM","",,,,,,"90 ml",""
"6/16/22 8:30 PM","",,,,,,"120 ml",""
"6/17/22 5:29 AM","",,,,,,"160 ml",""
"6/17/22 8:35 AM","",,,,,,"110 ml",""
"6/17/22 11:30 AM","",,,,,,"80 ml",""
"6/17/22 3:30 PM","",,,,,,"90 ml",""
"6/17/22 7:29 PM","",,,,,,"100 ml",""
"6/18/22 6:15 AM","",,,,,,"160 ml",""
"6/18/22 9:32 AM","",,,,,,"160 ml",""
"6/18/22 1:10 PM","",,,,,,"120 ml",""
"6/18/22 5:26 PM","",,,,,"120 ml","120 ml",""
"6/19/22 5:41 AM","",,,,,,"140 ml",""
"6/19/22 10:02 AM","",,,,,,"140 ml",""
"6/19/22 1:30 PM","",,,,,,"100 ml",""
"6/19/22 5:06 PM","",,,,,,"90 ml",""
"6/20/22 5:30 AM","",,,,,,"150 ml",""
"6/20/22 8:30 AM","",,,,,,"120 ml",""
"6/20/22 1:08 PM","",,,,,,"100 ml",""
"6/20/22 5:00 PM","",,,,,,"110 ml",""
"6/20/22 8:00 PM","",,,,,,"90 ml",""
"6/21/22 6:30 AM","",,,,,,"170 ml",""
"6/21/22 9:30 AM","",,,,,,"100 ml",""
"6/21/22 12:30 PM","",,,,,,"90 ml",""
"6/21/22 3:30 PM","",,,,,,"100 ml",""
"6/21/22 8:38 PM","",,,,,,"110 ml",""
"6/22/22 6:00 AM","",,,,,,"160 ml",""
"6/22/22 8:00 AM","",,,,,,"90 ml",""
"6/22/22 10:00 AM","",,,,,,"100 ml",""
"6/22/22 12:30 PM","",,,,,,"80 ml",""
"6/23/22 5:30 AM","",,,,,,"140 ml",""
"6/23/22 9:15 AM","",,,,,,"90 ml",""
"6/23/22 12:45 PM","",,,,,,"90 ml",""
"6/23/22 4:00 PM","",,,,,,"80 ml",""
"6/23/22 8:44 PM","",,,,,,"120 ml",""
"6/24/22 6:08 AM","",,,,,,"110 ml",""
"6/24/22 9:00 AM","",,,,,,"120 ml",""
"6/24/22 12:15 PM","",,,,,,"80 ml",""
"6/24/22 3:30 PM","",,,,,,"70 ml",""
"6/24/22 7:30 PM","",,,,,,"75 ml",""
"6/25/22 5:45 AM","",,,,,,"120 ml",""
"6/25/22 9:00 AM","",,,,,,"80 ml",""
"6/25/22 12:25 PM","",,,,,,"60 ml",""
"6/25/22 3:15 PM","",,,,,,"60 ml",""
"6/25/22 8:30 PM","",,,,,,"70 ml",""
"6/26/22 5:29 AM","",,,,,,"110 ml",""
"6/26/22 9:45 AM","",,,,,,"60 ml",""
"6/26/22 12:49 PM","",,,,,,"50 ml",""
"6/26/22 5:00 PM","",,,,,,"60 ml",""
"6/26/22 8:00 PM","",,,,,,"60 ml",""
"6/27/22 5:48 AM","",,,,,,"90 ml",""
"6/27/22 10:00 AM","",,,,,,"60 ml",""
"6/27/22 1:00 PM","",,,,,,"70 ml",""
"6/27/22 4:00 PM","",,,,,,"60 ml",""
"6/27/22 8:29 PM","",,,,,,"50 ml",""
"6/28/22 6:00 AM","",,,,,,"70 ml",""
"6/28/22 10:00 AM","",,,,,,"60 ml",""
"6/28/22 1:20 PM","",,,,,,"60 ml",""
"6/29/22 6:26 AM","",,,,,,"80 ml",""
"6/29/22 10:30 AM","",,,,,,"50 ml",""
"6/29/22 2:31 PM","",,,,,,"50 ml",""
"6/30/22 6:12 AM","",,,,,,"50 ml",""
"6/30/22 10:51 AM","",,,,,,"50 ml",""
"6/30/22 3:54 PM","",,,,,,"40 ml",""
"6/30/22 7:20 PM","",,,,,,"40 ml",""
"7/1/22 5:42 AM","",,,,,,"60 ml",""
"7/1/22 1:10 PM","",,,,,,"30 ml",""
"7/1/22 5:54 PM","",,,,,,"40 ml",""
"7/2/22 6:17 AM","",,,,,,"40 ml",""
"7/2/22 7:08 PM","",,,,,,"60 ml",""
"7/3/22 5:59 AM","",,,,,,"20 ml",""
